quantile,value,type,location,target,forecast_date,target_end_date
0.010,3944,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.025,4182,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.050,4357,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.100,4615,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.150,4777,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.200,4912,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.250,5025,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.300,5141,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.350,5236,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.400,5331,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.450,5423,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.500,5550,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
NA,5550,point,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.550,5638,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.600,5722,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.650,5855,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.700,5961,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.750,6078,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.800,6212,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.850,6386,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.900,6622,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.950,7028,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.975,7271,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.990,7617,quantile,US,1 wk ahead inc death,2021-04-18,2021-04-24
0.010,3455,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.025,3622,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.050,3902,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.100,4239,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.150,4442,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.200,4615,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.250,4792,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.300,4983,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.350,5094,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.400,5201,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.450,5296,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.500,5409,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
NA,5409,point,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.550,5513,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.600,5651,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.650,5785,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.700,5920,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.750,6049,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.800,6238,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.850,6473,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.900,6762,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.950,7184,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.975,7525,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.990,7891,quantile,US,2 wk ahead inc death,2021-04-18,2021-05-01
0.010,3011,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.025,3218,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.050,3534,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.100,3794,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.150,4013,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.200,4244,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.250,4442,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.300,4590,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.350,4737,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.400,4864,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.450,5040,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.500,5194,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
NA,5194,point,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.550,5385,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.600,5533,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.650,5716,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.700,5874,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.750,6102,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.800,6353,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.850,6647,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.900,7017,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.950,7655,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.975,8138,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.990,8691,quantile,US,3 wk ahead inc death,2021-04-18,2021-05-08
0.010,2482,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.025,2776,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.050,2996,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.100,3302,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.150,3526,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.200,3722,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.250,4008,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.300,4263,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.350,4464,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.400,4659,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.450,4883,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.500,5102,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
NA,5102,point,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.550,5367,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.600,5572,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.650,5834,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.700,6095,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.750,6413,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.800,6682,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.850,6996,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.900,7507,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.950,8359,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.975,8838,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.990,9497,quantile,US,4 wk ahead inc death,2021-04-18,2021-05-15
0.010,0,quantile,02,1 wk ahead inc death,2021-04-18,2021-04-24
